Metric,Card Name,"Feb 10 2025, 12:00AM - Feb 5 2026, 11:42AM"
Total Events of Sent,541_Wine Party Brittany Paige,325
Total Events of Sent,54_Make a Wish Nickel & Penny,884
Total Events of Sent,552_Let's Fiesta Opal Thirteen,120
Total Events of Sent,568_Let's Party Ashley Le Quere Retro,2
Total Events of Sent,600_Too Late For Botox Giulia Hartz,11
Total Events of Sent,602_Ancient History Giulia Hartz,179
Total Events of Sent,63_mazel mazel mazel Melanie Johnsson,26
Total Events of Sent,652_Happy Birthday jordan gadeke Balloon,1990
Total Events of Sent,665_Belated Bday Fion Koh,198
Total Events of Sent,671_Gift Surprise olga ambrosova,163
Total Events of Sent,694_Happy Birthday Ya Weirdo Alissandra Seelaus,1
Total Events of Sent,700_Have A Wonderfully Deliciously Perfectly Sweet Birthday Alissandra Seelaus,2
Total Events of Sent,705_Celebrate Jasmina zornic,429
Total Events of Sent,722_Happy Bday Analogbynat,1067
Total Events of Sent,773_Happy birthday To You Amy Zhang,421
Total Events of Sent,777_Feeling Generous Leena Kisonen,1
Total Events of Sent,778_Hoo-ray Leena Kisonen,33
Total Events of Sent,791_Birthday Dude Matt Matt Joyce,90
Total Events of Sent,800_Con Mucho Mucho Amor Grow Mija,51
Total Events of Sent,801_Feliz Cumpleaños Grow Mija,405
Total Events of Sent,802_Happy Birthday Mija grow mija,49
Total Events of Sent,812_This Calls For Confetti Shannon Snow,373
Total Events of Sent,829_Here's A Little Something poketo,21
Total Events of Sent,831_I Melt For You Poketo,73
Total Events of Sent,870_Belated Bday Jasmina zornic,209
Total Events of Sent,877_Shake Shake Shake It's Your Birthday melanie johnsson,198
Total Events of Sent,899_Happy Bee-Day Oscar Tapeswing,134
Total Events of Sent,900_Happy Birthday Candles Oscar Tapeswing,1410
Total Events of Sent,902_Aquarius Jacqueline Colley,3
Total Events of Sent,903_Aries Jacqueline Colley,9
Total Events of Sent,904_Cancer Jacqueline Colley,13
Total Events of Sent,905_Capricorn Jacqueline Colley,2
Total Events of Sent,906_Jacqueline Colley Gemini,35
Total Events of Sent,910_Leo Jacqueline Colley,19
Total Events of Sent,911_Libra Jacqueline Colley,8
Total Events of Sent,912_Pisces Jacqueline Colley,18
Total Events of Sent,913_Sagittarius Jacqueline Colley,1
Total Events of Sent,914_Scorpio Jacqueline Colley,9
Total Events of Sent,915_Taurus Jacqueline Colley,18
Total Events of Sent,916_Virgo Jacqueline Colley,5
Total Events of Sent,917_Balloon Dogs Dicky Bird,161
Total Events of Sent,919_Burger Dicky Bird,98
Total Events of Sent,91_Cheers To Good Times Zoe Wodarz,86
Total Events of Sent,920_Let's Eat Cake Dicky Bird,12
Total Events of Sent,921_Hand And Gift Dicky Bird,34
Total Events of Sent,922_Happy Birthday Dicky Bird Languages,73
Total Events of Sent,925_Have A Smashing Birthday Dicky Bird,77
Total Events of Sent,930_Wild Birthday Ash & Chess,75
Total Events of Sent,93_Biggie Birthday Spaghetti & Meatballs,405
Total Events of Sent,94_Cake Cake Cake Spaghetti & Meatballs,65
Total Events of Sent,950_Happy Birthday Andrew Hudson,31
Total Events of Sent,952_Happy Birthday Brook Gossen dancing,4
Total Events of Sent,967_Whiskey Birthday Brittany Paige,104
Total Events of Sent,981_Happy Birthday Yolanda Poh,716
Total Events of Sent,98_Happy Birthslay Spaghetti & Meatballs,121
Total Events of Sent,99_La Crunk Spaghetti & Meatballs,81
